Player,Team,Total Games Played,Signature Agents Ranked by Usage,Rounds Played,Rating,Average Combat Score,Kills:Death,"Kill, Assist, Survive, Trade Percent",Average Damage per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot Percent,Clutch Success Percent%,Clutches (won/played),Maximum Kills in a single map,Kills,Deaths,Assists,First Kills,First Deaths
kon,sisu,112,"['sova', 'skye', 'fade', 'breach', 'jett']",796,1.09,230.6,1.07,71%,155.6,0.81,0.27,0.10,0.11,33%,11%,,,647,603,214,79,90
korosu,Unknown,235,"['jett', 'neon', 'killjoy', 'chamber', 'raze']",222,0.88,213.5,0.91,62%,137.1,0.75,0.15,0.22,0.17,28%,7%,,,166,182,33,48,38
koyorii,ForsaKen,50,"['omen', 'killjoy', 'sage', 'cypher']",282,1.11,194.8,1.08,82%,125.5,0.72,0.49,0.09,0.06,24%,17%,,,202,187,139,24,16
koyori,Cyber Geek,39,"['omen', 'breach', 'harbor', 'jett', 'gekko']",238,0.76,163.5,0.71,64%,108.1,0.56,0.26,0.10,0.11,18%,10%,,,134,189,62,24,26
kp,Out the mud,536,"['sova', 'breach', 'skye', 'omen', 'sage']",962,0.98,181.8,0.95,76%,120.2,0.64,0.42,0.07,0.08,30%,15%,,,618,652,406,63,75
kray,friends,107,"['omen', 'viper', 'brimstone', 'astra', 'kayo']",231,0.96,194.4,0.90,71%,131.5,0.71,0.32,0.08,0.08,27%,7%,,,164,183,74,18,18
kreya,AEX-1 Nova,112,"['omen', 'fade', 'yoru', 'killjoy', 'harbor']",291,0.87,179.2,0.87,68%,115.2,0.65,0.22,0.05,0.07,21%,20%,,,188,217,63,15,19
krysme,revoada,299,"['killjoy', 'chamber', 'jett', 'cypher', 'viper']",1114,0.92,177.4,0.93,67%,121.4,0.63,0.16,0.07,0.08,22%,14%,,,700,755,179,78,93
kuripuuya,Karmine Corp GC,231,"['viper', 'astra', 'omen', 'jett', 'brimstone']",283,1.02,193.1,0.95,73%,132.9,0.66,0.39,0.09,0.09,32%,19%,,,188,197,109,25,26
kv7m,Unknown,76,"['omen', 'killjoy', 'brimstone', 'viper', 'chamber']",335,0.96,192.1,0.91,70%,127.5,0.69,0.32,0.07,0.08,31%,12%,,,231,253,108,22,28
kxoma,FOKUS Sakura,100,"['breach', 'skye', 'astra', 'viper', 'fade']",498,0.85,157.4,0.72,68%,106.9,0.56,0.37,0.04,0.07,32%,9%,,,278,386,183,19,33
kyracujoh,Zerance Mint,54,"['jett', 'raze']",282,0.93,200.0,1.02,70%,130.2,0.73,0.19,0.18,0.18,24%,14%,,,206,201,53,51,50
l4ce,Unknown,404,"['sova', 'skye', 'omen', 'fade', 'chamber']",908,1.24,229.5,1.30,78%,147.2,0.82,0.38,0.09,0.07,29%,16%,,,749,576,346,80,61
lara,FOKUS Sakura,56,"['killjoy', 'chamber']",371,0.79,174.0,0.78,65%,118.3,0.60,0.15,0.07,0.08,18%,13%,,,224,286,55,27,29
lateu,BLVKHVND,238,"['omen', 'viper', 'killjoy', 'cypher', 'chamber']",956,0.86,160.1,0.81,73%,102.1,0.56,0.46,0.05,0.06,26%,14%,,,534,658,444,44,57
